arm,model,layer,source_turn,target_turn,r2
armG,pretrained,19,5,14,0.5895033337190377
armG,pretrained,19,5,15,0.5846590739786328
armG,pretrained,19,5,16,0.5799971838232114
armG,pretrained,19,5,2,0.3190711232375095
armG,pretrained,19,5,3,0.5202318237712487
armG,pretrained,19,5,4,0.5782276281685659
armG,pretrained,19,5,5,0.601812161624927
armG,pretrained,19,5,6,0.6105476353350865
armG,pretrained,19,5,7,0.6150549380941343
armG,pretrained,19,5,8,0.6144047577527132
armG,pretrained,19,5,9,0.6112347673051034
armG,pretrained,19,6,1,-0.07948901705716538
armG,pretrained,19,6,10,0.6218816174677573
armG,pretrained,19,6,11,0.6222840889152039
armG,pretrained,19,6,12,0.6222404101046021
armG,pretrained,19,6,13,0.61576208107474
armG,pretrained,19,6,14,0.6110024929298423
armG,pretrained,19,6,15,0.6070544329680617
armG,pretrained,19,6,16,0.6036261807837255
armG,pretrained,19,6,2,0.3147883489650678
armG,pretrained,19,6,3,0.5092904053351314
armG,pretrained,19,6,4,0.5719955861528653
armG,pretrained,19,6,5,0.6013651484346657
armG,pretrained,19,6,6,0.6125960370950687
armG,pretrained,19,6,7,0.621602276373282
armG,pretrained,19,6,8,0.6235216863500282
armG,pretrained,19,6,9,0.6229478437462591
armG,pretrained,19,7,1,-0.15073234366199806
armG,pretrained,19,7,10,0.6295296316893153
armG,pretrained,19,7,11,0.6317715236019052
armG,pretrained,19,7,12,0.6324572765194973
armG,pretrained,19,7,13,0.6274152207477279
armG,pretrained,19,7,14,0.6228894505635066
armG,pretrained,19,7,15,0.6212869261862788
armG,pretrained,19,7,16,0.6167456724826621
armG,pretrained,19,7,2,0.28944139963557003
armG,pretrained,19,7,3,0.49625998420647677
armG,pretrained,19,7,4,0.5646590253878581
armG,pretrained,19,7,5,0.5973201240517988
armG,pretrained,19,7,6,0.6125333703207574
armG,pretrained,19,7,7,0.623313141315839
armG,pretrained,19,7,8,0.6277665474893666
armG,pretrained,19,7,9,0.6292446603475128
