arm,model,layer,turn,mapping,n,r2,null_mean,null_hi,null_max,r2_folds
armG,pretrained,18,4,pfx,5000,0.41936367390387796,,,,0.421727;0.403747;0.417710;0.413958;0.425977;0.430275
armG,pretrained,18,5,ctx,5000,0.5616455585921478,,,,0.561255;0.554379;0.559996;0.558043;0.567868;0.566047
armG,pretrained,18,5,pfx,5000,0.4515131610863673,,,,0.447619;0.441059;0.446243;0.451293;0.461015;0.459113
armG,pretrained,18,6,ctx,5000,0.5750276201980583,,,,0.568464;0.571245;0.576308;0.570853;0.578316;0.582994
armG,pretrained,18,6,pfx,5000,0.467293705532947,,,,0.461069;0.467371;0.471686;0.458588;0.475600;0.466883
armG,pretrained,18,7,ctx,5000,0.5889267620997511,,,,0.588322;0.586418;0.586446;0.589681;0.586518;0.594155
armG,pretrained,18,7,pfx,5000,0.48061138315038854,,,,0.478916;0.476034;0.482654;0.483757;0.474694;0.485147
armG,pretrained,18,8,ctx,5000,0.5952053785356899,,,,0.590401;0.594837;0.593469;0.594980;0.598222;0.597430
armG,pretrained,18,8,pfx,5000,0.48217654493220075,,,,0.480040;0.478866;0.484156;0.477252;0.482381;0.487943
armG,pretrained,18,9,ctx,5000,0.6002259240880157,,,,0.607015;0.593133;0.591323;0.600936;0.601161;0.605685
armG,pretrained,18,9,pfx,5000,0.49006297793498566,,,,0.500686;0.484380;0.474425;0.488892;0.494493;0.494784
armG,pretrained,18,10,ctx,5000,0.600891506984528,,,,0.604465;0.599586;0.593241;0.593850;0.605547;0.606670
armG,pretrained,18,10,pfx,5000,0.48666270119784516,,,,0.485128;0.493907;0.469607;0.482062;0.495039;0.491946
armG,pretrained,18,11,ctx,5000,0.610160434770193,,,,0.615769;0.605604;0.605963;0.613516;0.611493;0.606680
armG,pretrained,18,11,pfx,5000,0.4971789290829941,,,,0.502075;0.500914;0.489044;0.493683;0.497530;0.497274
armG,pretrained,18,12,ctx,5000,0.616804152472515,,,,0.621566;0.614229;0.614952;0.612734;0.617269;0.618062
armG,pretrained,18,12,pfx,5000,0.5008444206981033,,,,0.502669;0.501828;0.496054;0.494330;0.501235;0.506470
