behavior,regime,variant,u_rung_label,budget_l,draw,seed,f_u,f_l,delta_rho_frozen,ci_lo_inherited,ci_hi_inherited,rho_arm6,rho_arm2
evil,e2,context_end,5000,250,4,0,,,-0.26439814356944286,-0.36268581210823775,-0.12505216806662373,0.2830546161495909,0.5474527597190337
evil,e2p,context_end,5000,250,4,0,,,-0.23008509757068618,-0.2959840327193807,-0.11647681167949499,0.31736766214834755,0.5474527597190337
evil,e1,context_end,5000,250,4,1,,,-0.2856707831711674,-0.36022912949796165,-0.1845151936988247,0.414535262960041,0.7002060461312084
evil,e2,context_end,5000,250,4,1,,,-0.46525781167304403,-0.4922465075732625,-0.3258896070140255,0.23494823445816435,0.7002060461312084
evil,e2p,context_end,5000,250,4,1,,,-0.39015004280244997,-0.4185727408332576,-0.23807954907935996,0.31005600332875843,0.7002060461312084
evil,e1,context_end,5000,250,4,2,,,-0.24056367397580264,-0.34151141163892373,-0.14207526783830565,0.4521756649841982,0.6927393389600008
evil,e2,context_end,5000,250,4,2,,,-0.3801233154301773,-0.4665083042134204,-0.2800634040079379,0.31261602352982354,0.6927393389600008
evil,e2p,context_end,5000,250,4,2,,,-0.28894400301255385,-0.3651885165227404,-0.19818538913755607,0.403795335947447,0.6927393389600008
evil,e1,context_end,5000,2500,0,0,,,-0.2797086719458206,-0.3178663022179323,-0.24740051861059087,0.3779588974927347,0.6576675694385553
evil,e2,context_end,5000,2500,0,0,,,-0.4519606534817478,-0.49137219855305175,-0.41048566029949296,0.2057069159568075,0.6576675694385553
evil,e2p,context_end,5000,2500,0,0,,,-0.4142309202073485,-0.43502514063500014,-0.374373049042394,0.24343664923120684,0.6576675694385553
evil,e1,context_end,5000,2500,0,1,,,-0.29661206706081994,-0.3307321509408147,-0.2604641716844978,0.3660080384512567,0.6626201055120766
evil,e2,context_end,5000,2500,0,1,,,-0.5031169765817964,-0.5295111805737263,-0.4635704426218884,0.15950312893028024,0.6626201055120766
evil,e2p,context_end,5000,2500,0,1,,,-0.43888093838363307,-0.4596434325566648,-0.39344649172455787,0.22373916712844355,0.6626201055120766
evil,e1,context_end,5000,2500,0,2,,,-0.2944755701057218,-0.32675173867281626,-0.2611096160636089,0.3695375341071213,0.6640131042128431
evil,e2,context_end,5000,2500,0,2,,,-0.4675386696217626,-0.5049373760703293,-0.42856659513622447,0.1964744345910805,0.6640131042128431
